variable,IV
MCC,0.8532667105189135
FM_Sum_24,0.7878169650649165
FM_Sum_12,0.658124136147881
FM_Velocity_Condition_24,0.640988274619061
FM_Sum_6,0.6030969206596879
Pays,0.5641841123796076
FM_Sum_3,0.518427962848259
FM_Velocity_Condition_12,0.5002261165368553
FM_Velocity_Condition_6,0.49058760443467586
FM_Velocity_Condition_3,0.46992170993666355
CodeRep,0.3554738946115228
FM_Redondance_MCC_24,0.3393864299702048
FM_Redondance_MCC_12,0.2751654168207524
vel_burst_3_24,0.2146759938736818
montant_log,0.1491551836179188
sum_conc_3_24,0.12165619418181173
FM_Difference_Pays_3,0.047656400783997376
FM_Redondance_MCC_3,0.0
FM_Redondance_MCC_6,0.0
FM_Difference_Pays_6,0.0
FM_Difference_Pays_24,0.0
FM_Difference_Pays_12,0.0
