variable,modalite,woe,points
montant_log,"[0.00, 2.55]",-0.006,0
montant_log,"[2.55, 3.05]",-0.103,-1
montant_log,"[3.05, 3.39]",-0.313,-2
montant_log,"[3.39, 3.63]",-0.319,-2
montant_log,"[3.63, 3.90]",-0.499,-3
montant_log,"[3.90, 4.20]",-0.299,-2
montant_log,"[4.20, 4.56]",-0.17,-1
montant_log,"[4.56, 5.00]",-0.049,0
montant_log,"[5.00, 5.69]",0.303,2
montant_log,"[5.69, 13.21]",0.774,4
FM_Velocity_Condition_3,"[0.00, 1.00]",-0.368,-4
FM_Velocity_Condition_3,"[1.00, 2.00]",0.18,2
FM_Velocity_Condition_3,"[2.00, 46.00]",1.658,20
FM_Velocity_Condition_24,"[0.00, 1.00]",-0.54,0
FM_Velocity_Condition_24,"[1.00, 2.00]",-0.209,0
FM_Velocity_Condition_24,"[2.00, 3.00]",0.323,0
FM_Velocity_Condition_24,"[3.00, 129.00]",1.663,-1
FM_Sum_24,"[0.01, 16.24]",-0.536,-9
FM_Sum_24,"[16.24, 28.31]",-0.801,-14
FM_Sum_24,"[28.31, 39.95]",-0.764,-13
FM_Sum_24,"[39.95, 56.33]",-0.932,-16
FM_Sum_24,"[56.33, 79.40]",-0.711,-12
FM_Sum_24,"[79.40, 112.60]",-0.673,-11
FM_Sum_24,"[112.60, 163.76]",-0.479,-8
FM_Sum_24,"[163.76, 260.96]",-0.253,-4
FM_Sum_24,"[260.96, 522.24]",0.24,4
FM_Sum_24,"[522.24, 546500.70]",1.512,26
FM_Redondance_MCC_24,"[1.00, 2.00]",-0.201,-2
FM_Redondance_MCC_24,"[2.00, 51.00]",1.733,21
vel_burst_3_24,"[0.00, 0.33]",0.95,15
vel_burst_3_24,"[0.33, 0.50]",0.169,3
vel_burst_3_24,"[0.50, 1.00]",-0.274,-4
sum_conc_3_24,"[0.00, 0.37]",0.819,-1
sum_conc_3_24,"[0.37, 1.00]",-0.15,0
MCC,0000,2.249,58
MCC,0004,3.96,103
MCC,0100,1.691,44
MCC,0742,1.114,29
MCC,0763,1.167,30
MCC,0780,3.021,78
MCC,0799,3.449,89
MCC,0880,2.225,58
MCC,1168,3.112,81
MCC,1511,3.449,89
MCC,1520,0.002,0
MCC,1711,1.714,44
MCC,1731,0.947,25
MCC,1740,2.114,55
MCC,1750,2.014,52
MCC,1761,2.66,69
MCC,1771,2.66,69
MCC,1799,0.497,13
MCC,2020,3.96,103
MCC,2741,-0.681,-18
MCC,2791,3.96,103
MCC,2829,3.96,103
MCC,2842,3.449,89
MCC,2881,3.96,103
MCC,3000,-1.793,-46
MCC,3001,-0.551,-14
MCC,3005,-1.624,-42
MCC,3006,1.624,42
MCC,3007,-3.711,-96
MCC,3008,-2.073,-54
MCC,3009,-0.475,-12
MCC,3010,-1.727,-45
MCC,3011,0.504,13
MCC,3012,0.124,3
MCC,3013,-1.261,-33
MCC,3014,2.493,65
MCC,3015,-1.186,-31
MCC,3016,-1.286,-33
MCC,3017,0.331,9
MCC,3018,1.345,35
MCC,3020,1.624,42
MCC,3021,-0.035,-1
MCC,3022,3.112,81
MCC,3023,2.114,55
MCC,3024,3.449,89
MCC,3025,1.691,44
MCC,3026,2.585,67
MCC,3028,1.208,31
MCC,3029,0.393,10
MCC,3030,1.015,26
MCC,3031,0.715,18
MCC,3032,-0.91,-24
MCC,3034,2.861,74
MCC,3035,-0.265,-7
MCC,3036,1.345,35
MCC,3037,1.562,40
MCC,3038,3.96,103
MCC,3039,1.691,44
MCC,3040,2.014,52
MCC,3042,0.263,7
MCC,3043,-0.713,-18
MCC,3044,2.225,58
MCC,3047,0.443,11
MCC,3048,-2.031,-53
MCC,3049,-0.808,-21
MCC,3050,1.503,39
MCC,3051,-0.06,-2
MCC,3052,3.449,89
MCC,3055,2.35,61
MCC,3058,-0.989,-26
MCC,3059,3.112,81
MCC,3060,1.763,46
MCC,3061,-0.225,-6
MCC,3063,0.404,10
MCC,3064,3.96,103
MCC,3066,0.616,16
MCC,3075,0.367,10
MCC,3076,0.854,22
MCC,3077,0.741,19
MCC,3078,3.96,103
MCC,3082,2.225,58
MCC,3085,3.96,103
MCC,3088,3.96,103
MCC,3097,1.503,39
MCC,3098,1.691,44
MCC,3099,-0.118,-3
MCC,3100,1.447,37
MCC,3102,-2.676,-69
MCC,3103,1.763,46
MCC,3106,2.225,58
MCC,3111,-0.459,-12
MCC,3112,3.449,89
MCC,3117,2.861,74
MCC,3125,-0.506,-13
MCC,3127,3.449,89
MCC,3129,3.449,89
MCC,3136,2.35,61
MCC,3142,3.112,81
MCC,3144,1.763,46
MCC,3146,1.015,26
MCC,3148,-0.235,-6
MCC,3161,2.014,52
MCC,3167,3.112,81
MCC,3171,3.96,103
MCC,3174,1.297,34
MCC,3175,1.691,44
MCC,3177,3.112,81
MCC,3181,1.562,40
MCC,3182,1.222,32
MCC,3184,1.252,32
MCC,3185,3.96,103
MCC,3187,3.449,89
MCC,3190,1.395,36
MCC,3192,3.96,103
MCC,3193,2.66,69
MCC,3196,3.96,103
MCC,3206,3.96,103
MCC,3217,1.127,29
MCC,3219,2.66,69
MCC,3248,3.96,103
MCC,3251,2.225,58
MCC,3252,3.96,103
MCC,3253,0.349,9
MCC,3256,2.35,61
MCC,3259,3.112,81
MCC,3261,2.014,52
MCC,3263,3.449,89
MCC,3266,2.225,58
MCC,3287,1.345,35
MCC,3292,2.014,52
MCC,3294,2.493,65
MCC,3295,2.861,74
MCC,3297,1.345,35
MCC,3298,0.443,11
MCC,3333,3.112,81
MCC,3351,2.66,69
MCC,3357,-0.585,-15
MCC,3359,2.66,69
MCC,3364,1.252,32
MCC,3366,-0.554,-14
MCC,3368,-1.022,-26
MCC,3370,2.493,65
MCC,3381,-1.137,-29
MCC,3387,-1.242,-32
MCC,3388,3.449,89
MCC,3389,-3.428,-89
MCC,3390,-0.393,-10
MCC,3393,-0.756,-20
MCC,3394,3.96,103
MCC,3395,-0.358,-9
MCC,3396,3.112,81
MCC,3405,-0.744,-19
MCC,3409,3.449,89
MCC,3412,1.167,30
MCC,3420,1.624,42
MCC,3434,2.861,74
MCC,3438,2.35,61
MCC,3441,2.443,63
MCC,3501,-2.634,-68
MCC,3502,-2.12,-55
MCC,3503,-1.686,-44
MCC,3504,0.251,7
MCC,3505,-0.9,-23
MCC,3506,1.167,30
MCC,3507,3.96,103
MCC,3508,0.386,10
MCC,3509,-2.719,-70
MCC,3510,0.183,5
MCC,3511,2.66,69
MCC,3512,0.692,18
MCC,3513,-0.701,-18
MCC,3514,0.274,7
MCC,3515,3.449,89
MCC,3516,1.894,49
MCC,3517,0.741,19
MCC,3518,2.861,74
MCC,3519,1.167,30
MCC,3520,-1.209,-31
MCC,3523,0.002,0
MCC,3524,1.624,42
MCC,3526,0.854,22
MCC,3529,3.449,89
MCC,3530,1.167,30
MCC,3533,-0.713,-18
MCC,3534,3.449,89
MCC,3535,1.208,31
MCC,3537,0.484,13
MCC,3538,2.66,69
MCC,3539,2.79,72
MCC,3540,3.112,81
MCC,3541,4.922,127
MCC,3542,0.443,11
MCC,3543,-0.173,-4
MCC,3544,0.246,6
MCC,3545,-0.774,-20
MCC,3548,-0.361,-9
MCC,3551,0.64,17
MCC,3552,2.66,69
MCC,3553,0.689,18
MCC,3555,1.503,39
MCC,3558,0.664,17
MCC,3561,3.112,81
MCC,3562,-0.367,-9
MCC,3563,2.014,52
MCC,3567,3.96,103
MCC,3568,2.493,65
MCC,3569,3.449,89
MCC,3570,1.088,28
MCC,3572,1.395,36
MCC,3574,3.96,103
MCC,3575,3.96,103
MCC,3577,0.331,9
MCC,3579,0.577,15
MCC,3581,0.981,25
MCC,3583,-1.092,-28
MCC,3584,1.691,44
MCC,3587,2.66,69
MCC,3588,2.225,58
MCC,3590,0.689,18
MCC,3591,1.562,40
MCC,3592,1.279,33
MCC,3595,2.014,52
MCC,3598,1.923,50
MCC,3599,2.66,69
MCC,3612,-0.488,-13
MCC,3615,0.664,17
MCC,3623,0.616,16
MCC,3624,3.112,81
MCC,3625,0.592,15
MCC,3628,0.824,21
MCC,3629,3.112,81
MCC,3631,1.297,34
MCC,3634,-0.594,-15
MCC,3635,1.691,44
MCC,3637,-0.681,-18
MCC,3638,-0.204,-5
MCC,3639,0.437,11
MCC,3640,-1.955,-51
MCC,3641,-2.443,-63
